Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Shared	Option=No	Option=Yes	Count	Weight	resstock_probability
CR02	1990s	Propane	Both Shared	1.0	0.0	0.0	0.0	0.00019398993753600008
CR02	1990s	Propane	Neither Shared	1.0	0.0	23.0	192616.0019	0.0006801574560000003
CR02	1990s	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1990s	Propane	Only Heating Shared	1.0	0.0	0.0	0.0	0.0003680926064640002
CR02	2000s	Electricity	Both Shared	1.0	0.0	2.0	11289.35153	3.7744808717351797e-05
CR02	2000s	Electricity	Neither Shared	0.570692	0.42930799999999997	18.0	101706.1488	0.00715994845878808
CR02	2000s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	5.407214164780428e-05
CR02	2000s	Electricity	Only Heating Shared	1.0	0.0	1.0	6273.485517	0.00011883164260823855
CR02	2000s	Fuel Oil	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Fuel Oil	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Fuel Oil	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Natural Gas	Both Shared	1.0	0.0	0.0	0.0	1.1094500520000003e-05
CR02	2000s	Natural Gas	Neither Shared	0.9765530000000001	0.023447	68.0	397559.9696	0.0011979480445200004
CR02	2000s	Natural Gas	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Natural Gas	Only Heating Shared	1.0	0.0	2.0	16720.39746	7.459745496000002e-05
CR02	2000s	None	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	None	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	None	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Other Fuel	Neither Shared	1.0	0.0	1.0	4500.823397	8.281600000000003e-05
CR02	2000s	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Other Fuel	Only Heating Shared	1.0	0.0	2.0	13329.17065	2.0704000000000007e-05
CR02	2000s	Propane	Both Shared	1.0	0.0	0.0	0.0	0.0002484480000000001
CR02	2000s	Propane	Neither Shared	1.0	0.0	14.0	121819.3249	0.0008495351408640004
CR02	2000s	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	2000s	Propane	Only Heating Shared	1.0	0.0	0.0	0.0	0.000144256859136
CR02	2010s	Electricity	Both Shared	1.0	0.0	2.0	11289.35153	3.7744808717351797e-05
CR02	2010s	Electricity	Neither Shared	0.570692	0.42930799999999997	18.0	101706.1488	0.00715994845878808
CR02	2010s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	5.407214164780428e-05
CR02	2010s	Electricity	Only Heating Shared	1.0	0.0	1.0	6273.485517	0.00011883164260823855
CR02	2010s	Fuel Oil	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Fuel Oil	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Fuel Oil	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Natural Gas	Both Shared	1.0	0.0	0.0	0.0	1.1094500520000003e-05
CR02	2010s	Natural Gas	Neither Shared	0.9765530000000001	0.023447	68.0	397559.9696	0.0011979480445200004
CR02	2010s	Natural Gas	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Natural Gas	Only Heating Shared	1.0	0.0	2.0	16720.39746	7.459745496000002e-05
CR02	2010s	None	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	None	Neither Shared	1.0	0.0	0.0	0.0	0.0
