Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=FIXME Room AC, EER 8.5, 20% Conditioned	Option=FIXME Room AC, EER 10.7, 20% Conditioned	resstock_probability
CR02	1950s	Electricity	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Fuel Oil	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Natural Gas	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	None	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Other Fuel	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Propane	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Electricity	No	Neither Shared	0.20714000000000002	0.051712	0.305757	0.188186	0.030733	0.072157	0.144314	0.0059938919142804815
CR02	1950s	Fuel Oil	No	Neither Shared	0.186421	0.055514	0.328234	0.20202	0.032992	0.06494	0.129879	0.0
CR02	1950s	Natural Gas	No	Neither Shared	0.186421	0.055514	0.328234	0.20202	0.032992	0.06494	0.129879	0.0009936165481046015
CR02	1950s	None	No	Neither Shared	0.186421	0.055514	0.328234	0.20202	0.032992	0.06494	0.129879	0.0
CR02	1950s	Other Fuel	No	Neither Shared	0.186421	0.055514	0.328234	0.20202	0.032992	0.06494	0.129879	0.00010352000000000004
CR02	1950s	Propane	No	Neither Shared	0.186421	0.055514	0.328234	0.20202	0.032992	0.06494	0.129879	0.0012422400000000006
CR02	1950s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010029316926395198
CR02	1950s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.885732590339901e-05
CR02	1950s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.020220064e-05
