Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Option=None	resstock_probability
CR03	2000s	Fuel Oil	No	1.0	0.0
CR03	2000s	Fuel Oil	Yes	1.0	0.0
CR03	2000s	Natural Gas	No	1.0	0.001225443683997219
CR03	2000s	Natural Gas	Yes	1.0	5.819631600278163e-05
CR03	2000s	Propane	No	1.0	0.0012422400000000004
CR03	2000s	Propane	Yes	1.0	0.0
CR03	2010s	None	No	1.0	0.0
CR03	2010s	None	Yes	1.0	0.0
CR03	2010s	Other Fuel	No	1.0	0.00010352000000000004
CR03	2010s	Other Fuel	Yes	1.0	0.0
CR03	2010s	Electricity	No	1.0	0.007370597051761475
CR03	2010s	Electricity	Yes	1.0	0.0
CR03	2010s	Fuel Oil	No	1.0	0.0
CR03	2010s	Fuel Oil	Yes	1.0	0.0
CR03	2010s	Natural Gas	No	1.0	0.001225443683997219
CR03	2010s	Natural Gas	Yes	1.0	5.819631600278163e-05
CR03	2010s	Propane	No	1.0	0.0012422400000000004
CR03	2010s	Propane	Yes	1.0	0.0
CR04	<1940	None	No	1.0	0.0
CR04	<1940	None	Yes	1.0	0.0
CR04	<1940	Other Fuel	No	1.0	0.00010352000000000004
CR04	<1940	Other Fuel	Yes	1.0	0.0
CR04	<1940	Electricity	No	1.0	0.006183652423612044
CR04	<1940	Electricity	Yes	1.0	0.0011869475763879587
CR04	<1940	Fuel Oil	No	1.0	0.0
CR04	<1940	Fuel Oil	Yes	1.0	0.0
CR04	<1940	Natural Gas	No	1.0	0.0012734788655962511
CR04	<1940	Natural Gas	Yes	1.0	1.0161647860005971e-05
CR04	<1940	Propane	No	1.0	0.0012422400000000006
CR04	<1940	Propane	Yes	1.0	0.0
CR04	1940s	None	No	1.0	0.0
CR04	1940s	None	Yes	1.0	0.0
CR04	1940s	Other Fuel	No	1.0	0.00020704000000000008
CR04	1940s	Other Fuel	Yes	1.0	0.0
CR04	1940s	Electricity	No	1.0	0.012367304847224092
CR04	1940s	Electricity	Yes	1.0	0.0023738951527759178
CR04	1940s	Fuel Oil	No	1.0	0.0
CR04	1940s	Fuel Oil	Yes	1.0	0.0
CR04	1940s	Natural Gas	No	1.0	0.0025469577311925022
CR04	1940s	Natural Gas	Yes	1.0	2.0323295720011943e-05
CR04	1940s	Propane	No	1.0	0.0024844800000000007
CR04	1940s	Propane	Yes	1.0	0.0
CR04	1950s	None	No	1.0	0.0
CR04	1950s	None	Yes	1.0	0.0
CR04	1950s	Other Fuel	No	1.0	0.00010352000000000004
CR04	1950s	Other Fuel	Yes	1.0	0.0
CR04	1950s	Electricity	No	1.0	0.005972333779922287
CR04	1950s	Electricity	Yes	1.0	0.0013982662200777137
CR04	1950s	Fuel Oil	No	1.0	0.0
CR04	1950s	Fuel Oil	Yes	1.0	0.0
CR04	1950s	Natural Gas	No	1.0	0.0012836400000000008
CR04	1950s	Natural Gas	Yes	1.0	0.0
CR04	1950s	Propane	No	1.0	0.0012422400000000006
CR04	1950s	Propane	Yes	1.0	0.0
CR04	1960s	None	No	1.0	0.0
CR04	1960s	None	Yes	1.0	0.0
CR04	1960s	Other Fuel	No	1.0	0.00010352000000000003
CR04	1960s	Other Fuel	Yes	1.0	0.0
CR04	1960s	Electricity	No	1.0	0.007129793225704124
CR04	1960s	Electricity	Yes	1.0	0.0002408067742958766
CR04	1960s	Fuel Oil	No	1.0	0.0
CR04	1960s	Fuel Oil	Yes	1.0	0.0
CR04	1960s	Natural Gas	No	1.0	0.001238377221513612
CR04	1960s	Natural Gas	Yes	1.0	4.5262778486388574e-05
CR04	1960s	Propane	No	1.0	0.0012422400000000004
CR04	1960s	Propane	Yes	1.0	0.0
CR04	1970s	None	No	1.0	0.0
CR04	1970s	None	Yes	1.0	0.0
CR04	1970s	Other Fuel	No	1.0	0.00010352000000000003
CR04	1970s	Other Fuel	Yes	1.0	0.0
CR04	1970s	Electricity	No	1.0	0.006409947276021531
CR04	1970s	Electricity	Yes	1.0	0.0009606527239784696
CR04	1970s	Fuel Oil	No	1.0	0.0
CR04	1970s	Fuel Oil	Yes	1.0	0.0
CR04	1970s	Natural Gas	No	1.0	0.0012728578592991302
CR04	1970s	Natural Gas	Yes	1.0	1.0781627245126845e-05
CR04	1970s	Propane	No	1.0	0.0012422400000000004
CR04	1970s	Propane	Yes	1.0	0.0
CR04	1980s	None	No	1.0	0.0
CR04	1980s	None	Yes	1.0	0.0
CR04	1980s	Other Fuel	No	1.0	0.00010352000000000003
CR04	1980s	Other Fuel	Yes	1.0	0.0
CR04	1980s	Electricity	No	1.0	0.005469962880887685
CR04	1980s	Electricity	Yes	1.0	0.0019006371191123183
CR04	1980s	Fuel Oil	No	1.0	0.0
CR04	1980s	Fuel Oil	Yes	1.0	0.0
CR04	1980s	Natural Gas	No	1.0	0.0012633425221143055
CR04	1980s	Natural Gas	Yes	1.0	2.029645097420849e-05
CR04	1980s	Propane	No	1.0	0.0012422400000000006
CR04	1980s	Propane	Yes	1.0	0.0
CR04	1990s	None	No	1.0	0.0
CR04	1990s	None	Yes	1.0	0.0
CR04	1990s	Other Fuel	No	1.0	0.00010352000000000004
CR04	1990s	Other Fuel	Yes	1.0	0.0
CR04	1990s	Electricity	No	1.0	0.0067032845170824015
CR04	1990s	Electricity	Yes	1.0	0.0006673125346790748
CR04	1990s	Fuel Oil	No	1.0	0.0
CR04	1990s	Fuel Oil	Yes	1.0	0.0
CR04	1990s	Natural Gas	No	1.0	0.0012520473216238216
CR04	1990s	Natural Gas	Yes	1.0	3.159267837617894e-05
CR04	1990s	Propane	No	1.0	0.0012422400000000006
CR04	1990s	Propane	Yes	1.0	0.0
CR04	2000s	None	No	1.0	0.0
CR04	2000s	None	Yes	1.0	0.0
CR04	2000s	Other Fuel	No	1.0	0.00010352000000000004
CR04	2000s	Other Fuel	Yes	1.0	0.0
CR04	2000s	Electricity	No	1.0	0.0038190334978519063
CR04	2000s	Electricity	Yes	1.0	0.0035515635539095686
CR04	2000s	Fuel Oil	No	1.0	0.0
CR04	2000s	Fuel Oil	Yes	1.0	0.0
CR04	2000s	Natural Gas	No	1.0	0.0012836400000000006
CR04	2000s	Natural Gas	Yes	1.0	0.0
CR04	2000s	Propane	No	1.0	0.0010828128373248987
CR04	2000s	Propane	Yes	1.0	0.00015942716267510176
CR04	2010s	None	No	1.0	0.0
CR04	2010s	None	Yes	1.0	0.0
CR04	2010s	Other Fuel	No	1.0	0.00010352000000000004
CR04	2010s	Other Fuel	Yes	1.0	0.0
CR04	2010s	Electricity	No	1.0	0.0038190334978519063
CR04	2010s	Electricity	Yes	1.0	0.0035515635539095686
